"indicativo","nombre","provincia","altitud","Lat","Long","x_UTM","y_UTM"
"3100B","ARANJUEZ","MADRID","540","40.0402","-3.33","471847.797442699","4432271.1973447"
"3110C","BUITRAGO DEL LOZOYA","MADRID","1026","41.0025","-3.33","472247.521766485","4539087.02178951"
"3191E","COLMENAR VIEJO","MADRID","1004","40.4146","-3.43","463518.224034562","4473864.16856429"
"3200","GETAFE","MADRID","620","40.1758","-3.43","463389.57182895","4447358.22511474"
"3129","MADRID AEROPUERTO","MADRID","609","40.28","-3.33","471946.664732122","4458887.46497513"
"3194U","MADRID, CIUDAD UNIVERSITARIA","MADRID","664","40.2706","-3.43","463440.568480602","4457880.55446142"
"3196","MADRID, CUATRO VIENTOS","MADRID","690","40.2232","-3.43","463415.057579948","4452619.36829928"
"3195","MADRID, RETIRO","MADRID","667","40.2443","-3.43","463426.41059331","4454961.36780156"
"3266A","PUERTO ALTO DEL LEÓN","MADRID","1532","40.4223","-4.04","411774.417836735","4475149.32689249"
"2462","PUERTO DE NAVACERRADA","MADRID","1894","40.4735","-4.04","411841.350820135","4480832.61742223"
"3338","ROBLEDO DE CHAVELA","MADRID","790","40.254","-4.14","403050.384889198","4456572.63148026"
"3111D","SOMOSIERRA","MADRID","1450","41.0808","-3.33","472280.393903869","4547779.1477586"
"3175","TORREJÓN DE ARDOZ","MADRID","607","40.2919","-3.23","480451.113121501","4460181.45649081"
